,0,1,2,3,4,5,6,7,8,9
0,0.905,0.18,0.053,0.024,0.014,0.009,0.006,0.005,0.003,0.003
1,0.18,0.1,0.043,0.022,0.013,0.009,0.006,0.004,0.003,0.003
2,0.053,0.043,0.027,0.017,0.011,0.008,0.006,0.004,0.003,0.003
3,0.024,0.022,0.017,0.012,0.009,0.007,0.005,0.004,0.003,0.002
4,0.014,0.013,0.011,0.009,0.007,0.005,0.004,0.003,0.003,0.002
5,0.009,0.009,0.008,0.007,0.005,0.004,0.004,0.003,0.003,0.002
6,0.006,0.006,0.006,0.005,0.004,0.004,0.003,0.003,0.002,0.002
7,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002
8,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
9,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001
