,0,1,2,3,4,5,6,7,8,9
0,1.0,0.428,0.197,0.075,0.128,0.127,0.119,0.065,0.144,0.0
1,0.694,0.343,0.219,0.092,0.108,0.11,0.099,0.047,0.054,0.0
2,0.256,0.183,0.159,0.079,0.075,0.083,0.074,0.056,0.026,0.0
3,0.05,0.097,0.089,0.048,0.038,0.048,0.041,0.049,0.071,0.0
4,0.117,0.104,0.075,0.038,0.025,0.028,0.02,0.036,0.074,0.0
5,0.066,0.113,0.077,0.041,0.027,0.032,0.028,0.043,0.075,0.0
6,0.113,0.112,0.075,0.034,0.02,0.029,0.027,0.041,0.074,0.0
7,0.046,0.068,0.072,0.049,0.043,0.05,0.04,0.05,0.084,0.0
8,0.197,0.071,0.025,0.054,0.072,0.079,0.07,0.072,0.129,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
