,0,1,2,3,4,5,6,7,8,9
0,0.42,0.4,0.25,0.117,0.295,0.457,0.295,0.117,0.25,0.4
1,0.427,0.537,0.363,0.155,0.219,0.426,0.302,0.02,0.277,0.347
2,0.36,0.53,0.419,0.233,0.195,0.335,0.238,0.197,0.277,0.297
3,0.157,0.293,0.304,0.308,0.268,0.228,0.13,0.29,0.163,0.113
4,0.08,0.05,0.109,0.24,0.276,0.219,0.017,0.204,0.091,0.167
5,0.185,0.227,0.086,0.047,0.174,0.248,0.174,0.047,0.086,0.227
6,0.08,0.167,0.091,0.204,0.017,0.219,0.276,0.24,0.109,0.05
7,0.157,0.113,0.163,0.29,0.13,0.228,0.268,0.308,0.304,0.293
8,0.36,0.297,0.277,0.197,0.238,0.335,0.195,0.233,0.419,0.53
9,0.427,0.347,0.277,0.02,0.302,0.426,0.219,0.155,0.363,0.537
