,0,1,2,3,4,5,6,7,8,9
0,1.0,0.932,0.552,0.253,0.628,0.956,0.519,0.181,0.314,0.0
1,0.974,1.209,0.776,0.323,0.444,0.857,0.519,0.031,0.337,0.0
2,0.767,1.126,0.861,0.471,0.381,0.649,0.404,0.309,0.32,0.0
3,0.303,0.568,0.585,0.594,0.499,0.417,0.211,0.439,0.173,0.0
4,0.144,0.09,0.194,0.439,0.493,0.391,0.026,0.294,0.098,0.0
5,0.338,0.411,0.154,0.085,0.314,0.465,0.295,0.069,0.101,0.0
6,0.151,0.314,0.172,0.39,0.031,0.436,0.517,0.411,0.144,0.0
7,0.301,0.213,0.309,0.553,0.245,0.443,0.492,0.552,0.467,0.0
8,0.584,0.461,0.418,0.289,0.358,0.505,0.263,0.322,0.557,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
